Polling Station No,Candidate_1,UPPA K R S,NAYEKIHTRAK.P,AYINOS.A,DAHSRI.M.S,DASARP ARAHDIRIG.S,NAPPAYINUM.K,MAGAYAANIV.M.K,ALAMIV.K,NANNAK HTONIV.M.M,RAMUKHTONIV.M,UPPA.S,RAMUK NAHDAM.S,LAMAKJAR.S,NAHTANAGOL.M,RAMUK AYAJIV.U,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
199,91,346,11,0,0,0,0,0,394,1,0,0,0,0,0,843,843,0,5,848,0
200,182,142,9,1,0,0,0,1,299,0,0,0,0,0,0,634,634,0,3,637,0
201,227,172,17,0,0,1,0,0,394,0,0,1,0,2,0,814,814,0,6,820,0
202,168,312,18,1,1,0,0,0,240,0,1,0,0,0,0,741,741,0,3,744,0
203,193,241,11,0,0,1,2,0,323,1,1,0,0,0,0,773,773,0,6,779,0
204,216,117,14,0,1,0,0,0,228,0,1,0,0,0,1,578,578,0,3,581,0
205,275,199,20,0,1,0,1,0,251,1,0,2,0,0,0,750,750,0,2,752,0
206,272,174,23,1,2,2,0,0,298,0,0,3,0,0,1,776,776,0,5,781,0
207,257,155,14,0,0,0,0,2,314,0,1,0,0,1,0,744,744,0,3,747,0
208,279,203,37,1,0,0,1,0,345,1,1,1,0,0,1,870,870,0,2,872,0
209,202,180,21,1,0,1,0,0,242,0,1,0,1,1,1,651,651,0,3,654,0
210,164,191,11,0,0,0,0,1,271,0,0,2,1,0,0,641,641,0,1,642,0
211,345,192,17,1,1,1,1,0,339,0,0,1,0,0,0,898,898,0,7,905,0
212,189,220,13,1,1,0,1,1,318,0,0,0,0,0,0,744,744,0,5,749,0
213,158,164,16,1,1,0,1,1,198,1,0,1,0,0,1,543,543,0,1,544,0
214,275,195,17,0,0,1,2,0,433,0,0,1,1,1,1,927,927,0,9,936,0
215,120,226,23,3,1,1,0,1,224,0,0,0,0,1,0,600,600,0,4,604,0
216,162,298,19,0,0,0,0,1,368,0,0,0,0,0,0,848,848,0,3,851,0
217,164,309,40,0,0,0,1,1,285,0,0,0,0,0,1,801,801,0,5,806,0
218,117,186,18,0,1,0,0,1,233,0,1,0,0,0,0,557,557,0,1,558,0
219,137,253,15,0,0,0,0,0,275,0,0,0,1,0,0,681,681,0,1,682,0
