Polling Station No,R.D. SHEKAR,S. VETRI THAMIZHAN,VETRI VEL SELVAM,ASHLIN BELMEN .A.S,M. GEETA,DR.R. SARAVANA PERUMAL,SIVAKUMAR.V,S. SURESHKUMAR,J. SEBASTIN,M. THILAGABAMA,K.M. DEVAN,S. MALATHI,A. RAJARAM,VIJAY,D.V. VENUGOPAL,C. JOSEPH VIJAY,AGNI AALVAR,AMALA.R,AZARUTHEEN.M,P. ESAKKI MUTHU,E. UDHAYA KUMAR,M. KADHIRAVAN,P. GUNASEKAR,B. SATHISH KUMAR,SATHISH.B,P. THANGAMANI,M. TAMILSELVAM,H. DHANASEKAR,M.I. THAHIRA BANU,NIVETHA,B. BALAJI,P. PONRAJ,BOWDHARAJ,DR.D. MADAN,DR.G. MOORTHY,S. MICHAEL,S. RAMESH,V. RAJI,S. RAJESH KUMAR,REEGAN PRABHU,G. RUTHRA KUMAR,VIJAY. G,S. VISHNU VARTHAN,B. VENKATESAN,R. JAYASEELAN,S. JOSEPH,M. JOSEPH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
97,180,18,1,0,0,0,0,0,0,33,2,0,0,0,0,401,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,640,0,5,645,0
98,192,32,0,0,0,0,0,0,0,50,0,0,0,0,0,459,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,740,0,1,741,0
99,192,10,0,1,0,0,0,0,0,15,0,0,3,1,0,248,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,474,0,1,475,0
100,221,15,0,2,0,0,0,0,0,46,0,0,2,1,1,416,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,0,3,712,0
101,229,17,0,0,0,0,0,1,0,31,0,0,0,1,0,404,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,692,0,2,694,0
102,298,23,0,0,0,0,0,0,0,38,0,0,0,1,0,519,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,887,0,2,889,0
103,221,22,1,0,0,0,1,1,0,48,0,0,2,2,0,504,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,810,0,3,813,0
104,215,7,0,0,0,1,0,0,0,34,0,0,1,0,0,450,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,718,0,5,723,0
105,217,12,0,0,2,0,1,0,0,33,0,0,0,1,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,603,0,0,603,0
106,268,17,0,0,1,0,0,0,1,38,0,1,2,0,2,428,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,764,0,3,767,0
107,194,15,1,0,0,0,0,0,0,15,1,0,1,0,3,375,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,610,0,3,613,0
108,210,16,0,0,0,0,0,0,0,17,0,0,3,2,0,397,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,0,3,650,0
109,197,11,0,0,0,0,0,0,0,42,1,0,3,1,1,439,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696,0,1,697,0
110,134,17,0,1,0,0,0,0,0,18,0,0,0,0,0,266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,1,438,0
111,146,18,1,0,0,0,0,0,0,29,1,0,2,0,1,384,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,585,0,1,586,0
112,152,25,0,1,0,0,0,0,0,27,1,0,0,0,0,347,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,560,0,2,562,0
113,222,16,1,0,1,0,1,0,1,28,1,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,656,0,3,659,0
114,288,7,0,0,0,0,0,0,0,15,0,0,2,1,0,239,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,0,2,555,0
115,231,18,0,0,1,0,0,0,0,27,0,0,1,2,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,691,0,2,693,0
116,177,18,0,1,0,0,0,0,0,6,0,0,0,0,0,321,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,530,0,0,530,0
117,220,12,1,0,1,0,0,0,0,12,0,0,1,2,0,349,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,601,0,1,602,0
118,291,22,1,0,0,0,0,1,0,25,0,0,0,0,0,395,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737,0,1,738,0
119,158,17,1,0,0,1,2,0,0,34,0,0,2,0,0,331,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,3,1,0,559,0,1,560,0
120,112,23,1,0,0,0,0,1,1,16,0,0,1,1,0,289,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,448,0,1,449,0
121,186,16,0,0,0,0,0,0,0,22,0,0,2,2,0,336,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,569,0,3,572,0
122,249,9,1,0,0,0,0,0,0,38,0,0,0,1,0,418,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,723,0,0,723,0
123,125,16,0,0,0,0,0,0,1,16,0,0,3,0,1,438,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,607,0,0,607,0
124,182,21,1,0,0,0,0,2,1,17,0,0,2,0,0,426,3,0,0,0,1,0,0,2,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,667,0,1,668,0
125,193,21,0,1,1,0,0,0,0,21,2,0,0,1,0,458,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,702,0,1,703,0
126,200,20,1,1,2,0,0,0,1,30,0,0,2,3,0,445,3,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,2,3,1,0,0,0,0,0,6,2,1,0,2,1,1,733,0,1,734,0
127,201,15,0,0,0,2,1,0,0,22,0,0,3,2,2,472,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,724,0,3,727,0
128,205,5,0,0,0,0,0,0,0,3,0,1,0,0,0,278,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,497,0,1,498,0
129,246,11,1,3,0,0,0,0,1,8,0,0,2,1,2,332,3,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,1,1,0,0,0,1,0,0,3,1,1,0,0,1,1,625,0,3,628,0
130,247,25,1,0,1,0,0,0,2,54,1,0,1,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,660,0,5,665,0
131,146,15,0,1,1,0,0,0,0,29,2,1,1,0,1,380,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,583,0,1,584,0
132,143,5,1,0,0,0,0,0,1,47,0,0,0,0,0,311,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,515,0,4,519,0
133,173,13,2,1,0,1,0,0,1,78,0,2,1,0,0,350,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,1,0,0,0,0,0,1,0,1,0,0,1,0,634,0,5,639,0
134,169,15,1,0,0,0,0,0,0,67,0,0,0,0,0,359,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,618,0,1,619,0
135,176,10,0,0,0,0,0,0,0,8,0,0,2,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,473,0,0,473,1
136,248,14,0,1,0,0,0,0,1,19,0,0,1,0,0,366,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,653,0,6,659,0
137,155,11,0,0,0,0,0,0,0,34,0,0,1,0,0,204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,408,0,2,410,0
138,191,10,2,0,0,0,0,0,1,44,0,0,0,2,0,274,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0,3,530,0
139,192,7,0,0,0,0,0,0,1,23,1,0,0,2,0,254,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,1,485,0
140,158,9,0,0,0,0,0,0,0,40,0,0,0,3,0,259,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0,1,473,0
141,228,15,1,0,0,1,0,0,0,44,0,0,0,0,0,297,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,596,0,3,599,0
142,139,11,2,0,0,0,0,0,0,43,0,0,1,0,0,302,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,505,0,2,507,0
143,189,11,1,1,0,1,0,0,1,27,1,0,1,3,0,389,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,634,0,2,636,0
144,263,17,0,0,0,1,0,0,0,38,1,0,2,0,0,338,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,665,0,4,669,0
145,142,10,0,0,0,0,0,0,0,13,0,0,0,1,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,2,343,0
146,212,19,0,0,0,0,0,0,0,17,0,0,5,2,0,398,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,657,0,2,659,0
147,242,11,1,0,0,0,0,1,0,46,0,0,1,1,2,394,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,708,0,1,709,0
148,179,5,0,0,0,0,0,0,2,17,0,1,0,0,2,507,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,1,0,0,0,1,1,0,726,0,1,727,2
149,186,7,1,0,0,0,0,0,5,15,1,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,611,0,1,612,0
150,181,11,0,0,0,0,0,0,0,8,1,0,3,1,0,372,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,580,0,3,583,0
151,221,11,0,0,0,0,1,0,0,14,0,0,1,0,1,374,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,630,0,1,631,0
152,161,15,1,0,3,0,0,0,1,10,1,0,2,1,0,632,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,0,1,0,0,1,0,838,0,1,839,0
153,149,5,0,0,0,0,0,0,1,19,2,0,3,1,1,339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,526,0,0,526,0
154,130,11,2,0,0,1,0,0,0,8,0,0,0,2,0,267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,1,2,0,0,430,0,1,431,0
155,138,6,0,0,0,0,0,0,0,12,0,0,1,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,435,0,0,435,0
156,157,16,0,0,0,0,0,0,1,13,0,1,2,0,0,531,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,729,0,1,730,0
157,300,11,0,0,0,0,1,0,0,29,0,0,0,1,1,516,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,864,0,2,866,0
158,196,6,2,0,0,0,0,0,0,19,0,0,1,0,0,475,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,709,0,1,710,0
159,130,15,0,0,0,1,0,1,0,10,1,0,0,0,0,323,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,490,0,1,491,0
160,159,16,0,0,0,0,0,0,1,26,1,0,5,1,2,352,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,567,0,0,567,0
161,198,27,1,0,0,0,0,0,0,45,0,0,5,3,0,529,1,1,1,0,0,0,0,0,1,0,0,1,0,1,2,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,821,0,0,821,0
162,280,15,1,0,0,0,0,0,1,30,1,1,0,0,1,485,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,2,0,0,2,0,0,0,1,0,1,826,0,3,829,0
163,293,24,2,1,0,0,0,0,0,25,0,0,0,1,0,562,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,1,0,2,5,1,0,0,0,0,0,926,0,0,926,0
164,163,16,1,1,0,1,1,1,0,28,1,0,2,0,2,457,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,681,0,1,682,0
165,172,20,0,0,0,1,0,0,0,29,0,0,2,0,1,472,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,1,0,0,0,0,1,1,0,0,1,4,0,713,0,3,716,0
166,164,11,0,0,0,0,0,0,1,38,0,0,0,1,0,404,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,625,0,3,628,0
167,123,16,0,0,0,0,0,0,0,28,0,0,0,0,0,262,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,436,0,3,439,0
168,249,21,2,0,1,0,0,0,0,30,0,0,0,1,0,467,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,784,0,2,786,0
169,219,10,1,0,0,0,0,0,0,23,0,1,0,0,0,503,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,760,0,2,762,0
170,172,18,0,0,0,0,0,0,0,29,0,0,1,1,0,332,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,558,0,0,558,0
171,243,17,0,0,0,0,0,0,0,28,0,0,0,0,0,404,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,1,0,0,0,700,0,3,703,0
172,191,22,2,0,0,0,0,0,3,21,0,0,0,0,2,513,3,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,765,0,1,766,0
173,263,22,0,1,1,0,0,0,0,67,0,0,1,0,0,541,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,898,0,3,901,0
174,203,18,3,0,0,0,0,0,0,39,0,0,0,2,0,347,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,615,0,0,615,0
175,236,18,0,0,0,0,1,0,1,47,0,0,0,0,0,416,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,722,0,4,726,0
176,222,17,1,0,0,0,0,0,0,19,1,0,1,1,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,670,0,0,670,0
177,164,14,0,0,0,0,0,0,0,25,1,1,0,2,1,376,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,591,0,1,592,0
178,184,15,1,0,0,0,0,0,0,39,0,0,0,0,0,341,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,584,0,1,585,0
179,215,10,1,1,0,0,0,0,1,46,0,0,1,0,1,344,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,625,0,3,628,0
180,201,16,0,0,0,1,2,0,1,45,0,0,0,1,0,372,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,6,2,0,1,0,1,0,656,0,6,662,0
181,213,16,1,0,0,0,0,0,0,39,0,1,1,2,0,350,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,3,628,0
182,185,18,1,0,0,0,0,0,1,55,0,0,1,0,0,484,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,749,0,2,751,0
183,115,12,0,0,0,0,0,0,0,38,0,0,2,0,0,323,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,493,0,0,493,0
184,169,15,2,0,0,0,0,0,0,47,1,0,1,2,1,360,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,605,0,2,607,0
185,217,11,0,0,0,0,0,0,0,19,0,0,0,1,1,407,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,663,0,2,665,0
186,150,10,0,0,0,0,0,0,0,12,0,0,0,0,1,353,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0,0,527,0
187,207,20,0,0,0,0,1,0,0,38,0,0,0,0,0,471,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,739,0,1,740,0
188,215,8,0,0,0,1,1,0,0,31,0,0,4,0,1,405,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,676,0,0,676,0
189,227,28,0,1,0,0,0,0,1,24,0,0,1,1,0,504,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,796,0,2,798,0
190,195,26,1,1,0,0,0,0,0,26,0,0,3,0,0,469,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,727,0,5,732,0
191,163,8,0,0,1,0,0,0,0,17,0,0,2,0,0,285,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,479,0,0,479,0
192,287,7,0,1,0,0,0,0,1,23,0,0,2,0,0,373,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,699,0,3,702,0
193,158,17,0,0,0,0,0,0,0,29,1,0,0,1,0,440,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,650,0,0,650,0
194,161,22,0,0,0,0,0,0,0,23,0,0,1,1,0,335,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,0,3,548,0
195,261,26,0,0,0,0,0,0,0,11,0,0,0,0,0,479,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779,0,0,779,0
196,241,13,0,0,0,0,0,0,1,16,0,0,2,0,1,472,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,751,0,1,752,0
197,329,28,2,1,0,0,0,0,1,24,1,1,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,788,0,2,790,0
198,212,5,0,2,0,0,0,0,0,13,0,0,2,0,0,266,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,503,0,2,505,0
199,169,9,0,0,0,0,0,0,0,12,0,0,1,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,390,0
200,227,17,1,0,0,0,0,0,1,47,0,0,0,1,0,382,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,679,0,6,685,0
201,267,25,0,0,0,0,0,0,0,41,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,764,0,1,765,1
202,226,20,1,0,0,0,0,0,0,13,0,0,0,0,1,368,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,0,1,0,0,0,642,0,4,646,0
203,233,12,0,0,0,0,0,0,0,35,0,0,0,0,0,375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,0,6,662,0
204,330,33,0,0,0,0,0,1,1,18,0,0,1,1,1,516,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,909,0,1,910,0
205,182,38,1,0,0,0,0,0,0,4,1,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,480,0,2,482,0
206,248,38,1,1,0,0,0,0,0,13,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,1,0,0,0,0,767,0,0,767,0
207,313,47,0,0,0,1,0,1,0,18,0,2,1,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,816,0,1,817,0
208,189,25,0,0,0,0,0,0,0,15,0,0,1,0,1,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,561,0,1,562,0
209,210,11,0,0,0,0,0,0,0,24,1,0,0,1,0,357,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,607,0,0,607,0
210,252,9,0,0,0,0,0,0,0,43,0,0,0,1,0,370,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,682,0,0,682,0
211,226,18,0,0,0,0,0,0,0,30,0,0,0,1,0,384,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,3,2,0,0,1,1,1,676,0,1,677,0
212,321,11,0,0,0,0,0,0,1,15,0,0,0,1,0,402,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,757,0,1,758,0
213,364,10,1,0,0,0,0,0,0,12,0,1,0,0,1,335,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,726,0,1,727,0
214,160,13,0,1,0,0,0,0,0,47,0,0,2,0,0,390,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,2,0,0,0,0,0,624,0,2,626,0
215,201,26,1,1,0,1,0,0,0,47,0,0,0,0,0,470,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,754,0,3,757,0
216,190,21,0,0,0,0,0,0,0,27,0,0,0,1,1,362,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,608,0,1,609,0
217,241,21,0,1,0,0,0,0,0,23,0,0,1,1,0,309,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,604,0,2,606,0
218,270,28,2,1,0,0,0,0,1,33,0,0,0,0,1,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,2,0,886,0,7,893,0
219,191,14,0,1,0,0,1,0,0,26,0,0,1,0,0,461,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,698,0,3,701,0
220,242,21,1,0,0,1,0,1,0,28,0,0,0,0,0,532,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,832,0,0,832,0
221,298,28,0,0,0,0,0,1,0,40,1,0,0,1,0,542,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,922,0,1,923,0
222,198,14,1,0,1,0,0,0,1,16,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,502,0,0,502,0
