Polling Station No,R.D. SHEKAR,S. VETRI THAMIZHAN,VETRI VEL SELVAM,ASHLIN BELMEN .A.S,M. GEETA,DR.R. SARAVANA PERUMAL,SIVAKUMAR.V,S. SURESHKUMAR,J. SEBASTIN,M. THILAGABAMA,K.M. DEVAN,S. MALATHI,A. RAJARAM,VIJAY,D.V. VENUGOPAL,C. JOSEPH VIJAY,AGNI AALVAR,AMALA.R,AZARUTHEEN.M,P. ESAKKI MUTHU,E. UDHAYA KUMAR,M. KADHIRAVAN,P. GUNASEKAR,B. SATHISH KUMAR,SATHISH.B,P. THANGAMANI,M. TAMILSELVAM,H. DHANASEKAR,M.I. THAHIRA BANU,NIVETHA,B. BALAJI,P. PONRAJ,BOWDHARAJ,DR.D. MADAN,DR.G. MOORTHY,S. MICHAEL,S. RAMESH,V. RAJI,S. RAJESH KUMAR,REEGAN PRABHU,G. RUTHRA KUMAR,VIJAY. G,S. VISHNU VARTHAN,B. VENKATESAN,R. JAYASEELAN,S. JOSEPH,M. JOSEPH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
25,190,27,1,0,0,1,0,0,1,89,0,0,1,0,0,436,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,0,3,750,1
26,233,30,0,0,0,0,1,0,2,68,0,0,1,1,0,474,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,819,0,2,821,0
27,313,25,0,0,1,0,0,0,1,51,2,0,0,1,1,539,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,1,0,1,0,0,2,0,0,0,0,0,0,944,0,3,947,0
28,209,39,0,0,0,1,0,0,0,87,0,0,0,3,1,532,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,1,0,0,0,1,1,886,0,8,894,0
29,295,21,1,1,0,0,0,0,0,34,0,0,1,0,0,346,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,0,3,705,0
30,175,13,0,0,2,0,0,1,2,65,0,0,1,0,0,343,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,1,611,0,1,612,0
31,125,9,2,0,0,0,0,0,0,26,0,0,2,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,359,0,1,360,0
32,322,28,1,0,0,0,0,0,0,39,2,1,2,2,0,525,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,926,0,0,926,0
33,290,19,0,0,0,0,0,0,1,19,0,0,0,0,0,477,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,0,2,810,0
34,180,5,0,0,1,0,0,0,0,16,1,1,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,2,486,0
