Polling Station No,ASHOKKUMAR. N,GOVI.ELANGO,BHUVANA MANIYARASAN,NEIVELI SASIKUMAR,D.CHANDRAKANDEEBAN,G.CHITHIRAVELU,R.RAVI,T.ARULMURUGAN,U.UTHAYAKUMAR,PASUMAIBHOOMI NATARAJAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
90,239,166,23,2,156,0,2,0,0,0,588,0,7,595,0
91,282,199,61,4,203,26,0,0,0,1,776,0,5,781,0
92,268,208,57,2,166,0,0,2,0,9,712,0,1,713,0
93,113,111,26,0,49,1,0,0,0,1,301,0,1,302,0
94,253,303,47,2,203,3,1,0,0,3,815,0,2,817,0
95,215,138,19,0,153,1,0,0,0,2,528,0,2,530,0
96,160,187,23,1,149,2,0,1,2,1,526,0,2,528,0
97,218,199,29,3,107,0,1,0,0,1,558,0,0,558,0
98,190,193,80,4,194,4,0,1,2,2,670,0,1,671,0
99,254,148,95,3,316,2,2,0,0,1,821,0,0,821,0
100,166,168,15,1,101,0,1,0,1,1,454,0,0,454,0
101,205,131,22,0,135,0,0,1,0,0,494,0,1,495,0
102,112,88,21,1,85,0,0,2,1,0,310,0,1,311,0
103,270,279,48,1,356,0,1,1,2,2,960,0,4,964,0
104,93,276,17,0,112,1,0,1,0,2,502,0,0,502,0
105,583,50,26,0,64,0,0,0,0,0,723,0,2,725,0
106,82,142,18,1,139,0,0,0,2,1,385,0,1,386,0
107,452,171,20,1,167,1,1,1,1,3,818,0,5,823,0
108,601,21,13,1,52,0,1,1,1,0,691,0,1,692,0
109,643,51,32,2,92,2,0,0,0,0,822,0,5,827,0
110,130,182,15,4,197,0,1,3,2,1,535,0,3,538,0
111,420,139,37,4,149,0,2,2,2,2,757,0,7,764,0
112,253,299,20,2,263,2,1,1,2,4,847,0,4,851,0
113,173,244,30,2,154,1,3,1,0,1,609,0,2,611,0
114,126,233,23,0,153,0,0,0,0,0,535,0,3,538,0
115,148,233,32,2,217,1,1,1,1,0,636,0,3,639,0
116,311,278,37,1,194,1,1,2,0,0,825,0,1,826,0
117,243,133,13,2,92,0,1,1,1,0,486,0,1,487,0
118,209,198,17,1,122,0,0,1,1,0,549,0,0,549,0
119,91,330,29,1,156,0,0,0,1,0,608,0,2,610,0
120,87,218,23,2,112,2,1,0,0,0,445,0,1,446,0
121,133,506,34,0,221,1,2,1,1,1,900,0,5,905,0
122,126,179,42,2,184,0,1,1,1,1,537,0,3,540,0
123,193,189,16,0,162,2,2,2,3,2,571,0,9,580,0
124,141,118,14,0,84,0,0,0,0,0,357,0,1,358,0
125,142,102,10,1,56,0,1,0,0,0,312,0,0,312,0
126,171,343,48,2,286,1,0,0,2,2,855,0,7,862,0
127,211,197,34,0,140,1,0,2,3,1,589,0,4,593,0
128,135,197,30,0,88,0,0,0,2,1,453,0,1,454,0
129,182,217,44,2,153,1,1,1,0,1,602,0,1,603,0
130,177,152,23,1,161,1,2,1,2,1,521,0,7,528,0
131,266,169,23,2,142,2,0,0,0,1,605,0,1,606,0
132,207,141,25,1,171,2,0,0,0,1,548,0,1,549,0
133,162,352,37,2,175,0,1,0,0,0,729,0,2,731,0
134,137,195,64,0,117,0,0,0,1,1,515,0,0,515,0
135,158,234,90,0,137,1,1,0,2,0,623,0,1,624,0
136,164,97,24,0,165,0,0,1,0,1,452,0,0,452,0
137,140,242,36,0,262,1,1,2,2,2,688,0,0,688,0
138,309,213,50,2,219,5,0,1,3,0,802,0,1,803,0
139,66,120,18,0,90,0,0,0,0,0,294,0,1,295,0
140,227,271,50,1,178,2,1,1,0,4,735,0,4,739,0
141,232,161,23,2,155,1,1,0,0,1,576,0,3,579,0
142,270,60,15,0,100,0,0,1,1,2,449,0,2,451,0
143,360,147,29,1,114,2,1,3,0,1,658,0,1,659,0
144,158,131,44,1,152,1,1,0,0,2,490,0,1,491,0
145,232,89,25,0,112,1,0,0,1,0,460,0,3,463,0
146,193,290,80,3,156,0,0,0,2,0,724,0,6,730,0
147,211,361,75,3,169,3,2,1,0,0,825,0,2,827,0
148,252,306,47,3,248,2,1,2,0,3,864,0,2,866,0
149,336,145,21,0,131,0,0,3,1,0,637,0,4,641,0
150,359,77,21,0,117,1,1,0,2,0,578,0,3,581,0
151,353,168,37,3,224,2,4,0,0,3,794,0,5,799,0
152,369,55,37,2,127,1,2,0,1,0,594,0,3,597,0
153,66,143,41,1,77,0,1,1,1,2,333,0,6,339,0
154,159,218,33,1,216,1,2,1,0,2,633,0,3,636,0
155,92,339,35,1,124,0,1,0,1,4,597,0,0,597,0
156,268,207,36,1,161,0,0,0,3,1,677,0,2,679,0
157,131,117,20,0,100,0,0,1,0,0,369,0,1,370,0
158,107,268,24,1,108,0,1,0,0,2,511,0,4,515,0
159,104,129,23,0,115,1,0,0,0,0,372,0,1,373,0
160,266,423,39,0,198,1,0,2,0,3,932,0,3,935,0
161,127,162,23,3,89,0,5,0,0,1,410,0,1,411,0
