Polling Station No,R.S.RAAJESH,VENNILA.T,J. JOHN EBENEZER,E. RAAMADASAN,D.KARTHIKEYAN,CHANDRASEKAR,B.NAVIN,N. MARIE WILSON,A.MOHANRAJ,AMUDHA.N,D. AJITH KUMAR,S.EMMANUVEL,A. USHA,R.ETHIRAJ,V.SHANKAR,M. SATHISH,J.SARAVANAKUMAR,L.SARAVANAN,V.SUDHAKAR,K. SUJITH,R.TAMILARASAN,TAMILSELVAN,R.DEVAKUMAR,D.PRABHU,G. BOTHI RAJAN,MANIKANDAN.H,G. MADHAN KUMAR,V. MADHAN MOHAN,P. MARIMUTHU,R. MUTHU CHELLA BHARATHI,K. MURALI,J.MURALI KRISHNAN,C. RAJAMANICKAM,J.VIJAYAN,A.VIJAY,G. VIJAY,C.JANARTHANAN,D. JANARTHANAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
139,143,40,215,2,1,0,2,553,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,962,0,5,967,0
140,108,20,114,1,0,0,2,419,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,675,0,0,675,0
141,80,11,133,0,1,1,3,474,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,714,0,0,714,0
142,105,9,111,0,0,1,1,677,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,910,0,0,910,0
143,114,22,93,0,0,0,5,407,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,649,0,3,652,0
144,82,23,170,2,2,0,3,589,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,879,0,0,879,0
145,92,10,92,1,0,0,5,654,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,863,0,1,864,0
146,79,9,116,0,0,0,3,706,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0,1,0,0,1,2,0,0,1,0,0,925,0,0,925,0
147,131,22,151,1,0,0,2,540,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,853,0,1,854,0
148,82,19,169,2,0,1,3,451,2,0,0,0,0,1,0,0,0,0,1,1,0,1,0,3,1,0,1,0,0,0,0,0,1,0,1,1,0,0,741,0,2,743,0
149,40,10,85,0,0,0,2,318,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,461,0,0,461,0
150,91,16,179,0,0,0,0,405,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,695,0,9,704,0
151,118,32,245,1,0,0,3,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,870,0,2,872,0
152,143,26,199,1,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,891,0,1,892,0
153,112,20,171,0,0,0,1,465,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,774,0,1,775,0
154,87,25,184,0,0,0,0,370,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,671,0,3,674,0
155,104,35,159,2,1,0,0,498,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,806,0,0,806,0
156,124,11,165,0,2,1,2,376,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,687,0,1,688,0
157,119,20,123,1,0,0,1,283,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,0,3,555,0
158,133,24,202,3,0,0,2,349,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,717,0,4,721,0
159,208,25,225,0,0,0,0,602,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1068,0,3,1071,0
160,110,25,146,2,0,0,0,201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,488,0,2,490,0
161,118,16,128,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,482,0,4,486,0
162,116,15,157,2,0,0,1,376,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,674,0,5,679,0
163,99,5,81,0,0,0,1,399,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,1,0,0,597,0,0,597,0
164,111,25,103,2,0,0,0,455,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,703,0,3,706,0
165,152,39,155,0,0,1,1,317,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,670,0,0,670,0
166,177,25,124,1,0,0,2,406,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,743,0,4,747,0
167,165,28,136,1,1,0,1,452,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,1,0,0,1,1,0,0,0,794,0,3,797,0
168,110,10,98,0,0,0,1,408,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,0,4,636,0
169,75,10,87,0,0,0,1,302,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,1,481,0
170,169,22,122,1,0,0,2,397,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,716,0,5,721,0
171,80,18,105,1,0,0,2,346,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,561,0,2,563,1
172,121,27,153,3,0,0,0,491,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,808,0,0,808,0
173,133,21,118,0,0,0,1,298,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,580,0,3,583,0
174,144,19,83,1,0,0,2,251,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,507,0,1,508,0
175,86,24,111,1,0,0,0,177,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,3,404,0
176,134,18,147,0,0,0,0,304,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,608,0,6,614,0
177,145,23,208,1,0,1,0,369,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,753,0,6,759,0
178,123,34,214,0,0,0,0,344,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,723,0,3,726,0
179,226,21,147,2,0,0,1,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,851,0,4,855,0
180,170,21,173,3,0,0,0,387,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,0,4,762,0
181,108,14,148,0,0,0,0,353,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,0,4,632,0
182,100,10,171,0,0,0,1,299,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,586,0
183,156,15,160,0,1,0,0,305,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,645,0,1,646,0
184,124,18,147,0,0,1,1,465,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,760,0,1,761,0
185,121,17,165,1,0,0,3,371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,682,0,4,686,0
186,156,22,220,0,0,1,3,487,2,0,1,0,0,0,0,0,1,1,2,0,0,0,2,3,0,0,0,1,1,2,1,0,2,0,0,0,0,0,908,0,0,908,0
187,135,31,149,0,1,0,0,416,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,742,0,1,743,0
188,111,21,161,3,0,0,0,315,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,616,0,1,617,0
189,147,23,161,0,0,1,3,451,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,794,0,3,797,0
190,121,14,130,1,1,0,2,464,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,736,0,3,739,0
191,106,19,100,0,0,0,0,272,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,500,0,4,504,0
192,107,22,135,1,1,0,0,427,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,696,0,1,697,0
193,112,18,167,1,0,0,0,409,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,714,0,1,715,0
194,161,25,187,1,0,0,1,464,0,0,1,0,2,0,2,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,851,0,1,852,0
195,114,15,125,1,0,0,1,267,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,528,0,6,534,0
196,151,20,263,1,0,0,0,459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,896,0,7,903,0
197,114,12,176,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,608,0,3,611,0
198,115,13,140,1,0,0,1,297,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,570,0,1,571,0
199,131,21,149,2,0,1,0,345,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,657,0,5,662,0
200,109,16,209,0,0,0,2,359,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,702,0,2,704,0
201,104,12,166,2,0,1,1,330,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,620,0,3,623,0
202,101,18,187,1,0,0,3,428,1,0,0,0,0,1,0,1,3,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,750,0,1,751,0
203,113,21,180,1,0,0,4,660,1,1,1,0,0,2,0,0,1,1,2,0,0,1,0,4,0,3,0,0,0,2,1,0,1,0,0,0,1,0,1001,0,4,1005,0
204,109,20,157,1,0,0,1,550,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,0,0,842,0
205,58,16,166,1,0,0,3,434,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,2,3,0,1,1,1,1,1,0,0,0,0,0,1,693,0,2,695,0
206,152,24,214,0,0,0,2,550,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,954,0,4,958,0
207,79,23,180,0,0,1,2,368,0,2,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,662,0,4,666,0
208,ge 111,2 19,136,1,0,0,2,397,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,673,0,2,675,0
209,131,31,196,3,0,0,4,460,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,0,1,2,0,0,2,0,0,0,840,0,1,841,0
210,145,35,182,1,2,1,2,515,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,891,0,1,892,0
211,104,22,128,2,1,0,2,392,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,655,0,4,659,0
212,127,7,142,0,0,0,0,333,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,1,0,1,0,1,623,0,0,623,0
213,150,20,122,0,1,0,4,313,1,0,0,0,0,0,1,0,3,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,623,0,1,624,0
214,64,7,208,0,0,0,1,461,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,2,1,0,0,1,1,0,1,757,0,3,760,0
215,71,11,213,6,0,0,3,360,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,670,0,1,671,0
216,83,15,193,2,0,1,2,501,0,0,0,0,1,2,1,1,2,2,1,0,1,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,814,0,2,816,0
217,48,15,165,1,0,0,3,249,20,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,509,0,3,512,0
218,39,11,145,0,0,0,1,275,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,2,477,0
219,92,21,318,1,0,1,3,533,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,979,0,0,979,0
220,36,6,122,0,0,0,1,219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,389,0,0,389,0
221,53,13,218,3,0,0,0,341,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,1,0,0,1,0,2,0,0,1,639,0,2,641,0
222,62,9,175,0,1,0,0,265,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,519,0,0,519,0
223,62,6,185,0,0,0,2,476,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,0,2,1,0,0,1,1,0,1,2,745,0,0,745,0
224,59,16,133,2,0,3,3,363,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,2,0,1,1,1,1,0,1,0,0,0,1,1,0,1,595,0,1,596,0
225,403,2,27,1,1,0,1,129,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,568,0,5,573,1
226,429,4,23,0,0,2,0,135,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,599,0,4,603,0
227,80,18,176,1,0,0,1,388,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,671,0,4,675,0
228,74,13,322,0,0,1,3,481,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,2,0,0,907,0,1,908,0
229,37,20,284,1,0,0,3,479,2,0,0,0,0,0,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,1,840,0,3,843,0
230,59,19,311,3,0,0,2,403,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,802,0,2,804,0
231,103,20,147,1,1,1,1,349,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,632,0,3,635,0
232,99,26,190,2,0,0,2,450,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,774,0,1,775,0
233,62,9,161,1,0,1,0,237,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,0,475,0
234,121,15,195,0,1,1,1,415,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,755,0,2,757,0
235,125,26,127,0,0,0,4,566,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,2,0,0,0,1,0,1,0,1,0,1,0,0,0,863,0,1,864,0
236,56,23,154,0,0,0,0,406,2,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,2,0,0,652,0,1,653,0
237,95,12,251,3,0,1,1,411,1,0,0,2,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,785,0,3,788,0
238,50,10,253,1,0,1,1,351,2,0,0,0,2,0,0,0,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,678,0,1,679,0
239,59,16,263,0,0,0,1,323,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,1,0,0,0,0,0,0,1,1,1,0,0,0,676,0,6,682,0
240,39,8,225,1,0,1,0,380,1,0,0,0,0,1,0,0,0,2,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,663,0,1,664,0
241,20,12,208,1,0,0,2,232,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,1,480,0
242,61,25,363,5,0,0,0,511,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,973,0,4,977,0
243,60,13,190,1,0,0,0,447,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,722,0,0,722,0
244,154,26,176,0,0,0,1,438,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,805,0,3,808,0
245,123,23,151,0,0,0,0,388,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,694,0,1,695,0
246,179,18,144,0,0,0,2,444,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4,0,0,0,0,0,0,1,1,0,0,0,1,0,0,798,0,0,798,0
247,145,39,161,0,0,0,0,483,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,834,0,3,837,0
