Polling Station No,N.R.KARTHIKEYAN,RAJABU NISHA.Z,S.P.VELUMANI,SATHISH RAJU (ALIAS) K.P.R. SATHISH,SHAJAHAN.S,ARULKUMAR.P,KALAIVANI.S,KARTHIKEYAN.M,KARTHIKEYAN.R,KARTHIKEYAN.R-THONDAMUTHUR,KARTHIKEYAN.R-POOLUVAPATTI,KOWSALYA.V,SIVARAMAN.C,DEEPA.G.S,DEVADASS.K,NIRMALKUMAR.R,BALAMANI.V,MANOKARAN.K,RAFEEQ.A.M.,VIJAYA.K,VISWANATHAN.M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,195,6,342,188,0,2,1,1,0,0,1,1,3,1,0,2,2,0,0,0,0,745,0,3,748,0
2,116,15,388,160,0,1,2,0,0,0,0,0,0,1,1,2,2,0,1,2,0,691,0,2,693,0
3,204,25,422,195,1,1,1,0,0,0,0,0,2,3,0,1,3,3,2,0,0,863,0,2,865,0
4,180,22,274,212,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,693,0,1,694,0
5,210,37,324,266,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,840,0,4,844,0
6,198,34,266,241,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,1,0,745,0,5,750,0
7,114,10,185,134,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,1,1,451,0,0,451,0
8,133,22,218,223,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,598,0,1,599,0
9,178,17,341,298,1,0,2,0,0,0,2,0,1,0,2,2,2,2,1,1,0,850,0,1,851,0
10,120,26,254,242,0,0,0,0,1,2,1,0,1,2,1,2,0,1,1,0,0,654,0,3,657,0
11,191,24,299,258,3,1,1,0,0,1,2,0,0,0,1,2,0,1,0,1,0,785,0,2,787,0
12,161,30,249,309,1,0,1,0,0,2,1,0,0,0,0,1,0,0,2,0,1,758,0,5,763,0
13,156,21,208,176,1,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,1,568,0,1,569,0
14,133,16,231,166,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,552,0,0,552,0
15,75,6,285,162,0,0,0,0,0,0,1,1,2,3,0,1,0,1,3,0,0,540,0,0,540,0
16,184,18,231,266,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,705,0,2,707,0
17,140,19,321,198,1,1,0,0,0,0,0,1,0,2,0,1,2,0,3,0,1,690,0,3,693,0
18,141,17,280,313,3,0,0,0,0,1,0,1,0,0,0,0,1,3,3,2,0,765,0,2,767,0
19,134,37,458,191,2,1,1,0,0,1,0,1,0,2,0,2,1,1,3,0,0,835,0,2,837,0
20,165,21,410,165,0,0,1,1,0,1,1,0,1,3,0,3,1,0,1,0,0,774,0,6,780,0
21,167,49,370,193,3,0,0,0,0,0,2,0,0,2,0,3,0,1,2,0,0,792,0,5,797,0
22,159,24,481,158,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,824,0,6,830,0
23,184,26,458,164,0,3,1,1,1,0,1,0,4,3,0,2,1,0,3,1,3,856,0,1,857,0
24,123,17,380,127,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,1,1,656,0,1,657,0
25,144,13,312,127,0,0,0,0,0,0,1,1,1,1,1,2,1,0,1,0,0,605,0,3,608,0
26,136,23,467,138,2,1,0,0,0,0,3,0,0,0,0,0,1,1,0,1,0,773,0,1,774,0
27,76,22,258,96,0,1,1,0,0,0,2,0,0,0,0,1,1,0,1,0,0,459,0,0,459,0
28,206,10,261,141,0,0,0,1,0,0,1,3,4,2,0,1,1,0,1,0,1,633,0,0,633,0
29,250,40,352,266,1,0,1,0,0,0,2,0,0,1,0,2,0,0,2,2,0,919,0,5,924,0
30,174,18,280,183,0,1,0,1,0,0,2,0,1,2,2,2,3,0,2,0,0,671,0,2,673,0
31,242,25,311,223,1,2,0,0,0,2,0,0,0,2,0,1,3,0,0,1,0,813,0,3,816,0
32,191,23,283,299,0,1,1,0,0,0,0,2,0,0,0,2,1,0,1,0,0,804,0,3,807,0
33,180,25,374,289,3,2,2,0,0,1,5,1,2,3,1,3,1,3,1,0,1,897,0,4,901,0
34,176,25,237,211,0,0,0,0,0,0,0,1,1,0,1,0,1,0,2,0,0,655,0,6,661,0
35,239,33,289,220,1,1,0,0,0,0,1,0,2,5,0,0,1,0,0,0,1,793,0,3,796,0
36,194,23,358,291,1,0,0,1,0,1,0,0,2,0,0,0,1,1,2,1,0,876,0,8,884,0
37,198,18,273,92,0,0,1,0,0,0,0,0,0,2,0,3,7,0,5,4,0,603,0,4,607,0
38,154,8,228,121,1,0,0,0,0,0,1,1,2,3,1,1,1,0,0,2,0,524,0,0,524,0
39,144,17,392,132,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,691,0,1,692,0
40,153,20,410,211,2,1,1,0,0,1,2,0,2,0,0,0,3,0,2,1,0,809,0,3,812,0
41,238,9,307,188,0,1,1,2,0,0,0,0,0,1,1,2,2,0,1,1,1,755,0,0,755,0
42,135,13,272,158,1,2,1,0,0,1,0,0,4,2,1,1,0,1,2,0,0,594,0,2,596,0
43,221,15,223,166,2,0,1,0,0,0,1,0,2,1,1,2,1,1,3,1,1,642,0,3,645,0
44,211,9,468,196,0,0,0,1,1,0,1,2,0,1,0,1,2,4,1,3,1,902,0,0,902,0
45,187,36,407,221,0,0,0,0,0,1,0,0,2,3,1,3,2,1,5,2,0,871,0,5,876,0
46,152,27,461,154,2,1,1,1,1,1,1,0,2,4,2,4,1,5,0,0,0,820,0,5,825,0
47,195,45,389,174,0,1,0,1,0,0,0,0,0,1,3,0,2,3,2,0,0,816,0,3,819,0
48,108,19,145,85,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,362,0,0,362,0
49,160,6,300,159,0,0,0,0,0,0,0,0,2,2,0,4,1,1,2,1,0,638,0,1,639,0
50,119,10,248,170,1,0,1,0,0,0,0,0,1,0,1,2,1,1,1,0,0,556,0,3,559,0
51,49,13,269,105,1,0,0,0,0,0,1,0,0,0,1,1,0,0,3,2,0,445,0,0,445,0
52,187,12,327,227,0,0,1,0,0,0,0,1,0,1,0,1,0,0,2,1,0,760,0,1,761,1
53,162,6,244,121,0,1,0,0,0,1,0,0,1,0,0,2,1,2,2,0,0,543,0,1,544,0
54,133,8,311,160,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,616,0,2,618,1
55,171,16,290,189,0,0,1,0,0,0,3,0,2,2,1,0,2,0,0,0,0,677,0,2,679,0
56,82,6,320,140,3,0,0,0,0,0,1,0,3,2,0,1,0,0,3,0,0,561,0,0,561,0
57,177,7,509,78,0,0,2,0,0,0,1,1,1,1,2,3,3,0,0,1,1,787,0,1,788,0
58,176,20,463,245,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,1,911,0,2,913,0
59,119,12,337,192,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,665,0,1,666,0
60,98,9,220,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,0,455,0
61,243,25,335,181,0,0,1,0,0,0,1,0,1,0,1,0,2,0,0,2,0,792,0,4,796,0
62,187,19,423,229,3,2,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,869,0,2,871,0
63,178,19,99,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,4,387,0
64,166,12,190,130,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,0,505,0,1,506,0
65,145,18,509,194,0,0,0,0,0,0,1,0,2,0,0,1,1,1,1,0,0,873,0,4,877,0
66,261,21,407,315,1,2,0,0,0,0,0,0,0,2,1,2,0,0,4,1,0,1017,0,1,1018,0
67,172,12,373,186,0,0,2,0,0,0,0,0,2,1,0,0,1,2,3,0,0,754,0,2,756,0
68,221,11,379,331,0,0,0,0,0,1,1,0,1,2,2,4,2,0,1,0,0,956,0,2,958,0
69,183,11,389,234,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,821,0,1,822,0
70,128,17,297,99,0,0,0,1,0,0,0,0,1,1,1,3,4,1,3,1,0,557,0,1,558,0
71,91,7,229,165,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,497,0,0,497,0
72,140,10,248,184,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,587,0,1,588,0
73,171,15,326,189,1,0,0,0,0,1,0,0,3,5,0,4,3,2,5,0,0,725,0,2,727,0
74,143,23,422,232,1,1,0,0,0,1,2,0,2,1,0,0,1,2,2,2,1,836,0,5,841,0
75,162,12,382,135,0,1,0,1,0,1,0,0,1,0,0,0,0,1,3,2,0,701,0,2,703,0
76,ge 1 133,33,238,227,0,0,1,0,1,1,1,0,2,0,1,0,2,1,1,1,0,643,0,3,646,0
77,143,19,253,255,0,0,0,0,0,2,0,0,1,2,0,1,1,2,1,2,0,682,0,1,683,0
