Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
422,80,200,24,0,225,0,0,0,0,0,1,1,0,0,0,5,5,536,0,536,0
423,77,165,25,2,277,0,0,0,0,0,0,1,0,1,0,8,8,556,0,556,0
424,73,129,13,0,189,0,0,0,0,0,0,0,1,1,0,2,2,408,0,408,0
425,132,183,40,1,289,1,1,0,1,0,0,0,0,0,0,0,0,648,0,648,0
426,169,155,26,0,238,2,0,0,1,0,0,0,0,1,0,4,4,596,0,596,0
427,143,188,42,0,249,1,2,0,1,0,1,0,0,0,0,3,3,630,0,630,0
428,125,200,31,1,175,0,1,0,0,0,0,0,1,0,0,4,4,538,0,538,0
429,180,191,22,0,233,0,0,0,0,0,2,0,0,0,0,8,8,636,0,636,0
430,133,195,29,2,182,1,0,0,0,0,1,0,0,0,1,5,5,549,0,549,0
431,137,228,41,0,249,1,0,1,0,0,0,0,1,2,0,10,10,670,0,670,0
432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,99,128,35,0,160,0,0,0,0,1,0,0,0,0,0,7,7,430,0,430,0
434,133,212,54,1,360,0,0,0,0,0,0,0,1,0,0,5,5,766,0,766,0
435,112,189,38,0,262,0,0,1,0,0,0,0,0,0,1,3,3,606,0,606,0
436,139,232,39,1,263,1,0,1,0,0,0,0,0,0,0,10,10,686,0,686,0
437,150,196,45,3,295,0,1,0,0,0,0,0,0,0,0,4,4,694,0,694,0
438,144,165,31,2,181,0,0,0,0,0,0,0,0,0,0,6,6,529,0,529,0
439,147,233,34,1,177,0,1,1,0,0,0,0,1,0,0,3,3,598,0,598,0
440,176,314,52,1,351,3,0,0,0,1,1,0,0,0,0,4,4,903,0,903,0
441,188,126,23,2,283,0,0,0,1,0,0,0,0,0,0,8,8,631,0,631,0
442,116,118,31,0,202,0,0,0,0,0,1,0,0,0,0,2,2,470,0,470,0
443,181,144,29,1,256,0,0,0,0,0,0,0,0,0,0,2,2,613,0,613,0
444,194,178,35,1,247,0,0,0,1,0,0,0,0,0,0,6,6,662,0,662,0
445,129,151,30,0,282,0,0,0,0,0,0,0,0,0,0,5,5,597,0,597,0
446,158,181,34,0,300,0,0,0,0,0,0,0,0,0,1,2,2,676,0,676,0
447,169,189,54,1,357,1,0,0,0,1,0,1,0,0,0,6,6,779,0,779,0
448,185,167,22,0,315,0,0,0,0,0,0,0,0,0,0,4,4,693,0,693,0
449,108,172,25,0,267,0,0,0,0,0,0,0,0,0,1,3,3,576,0,576,0
450,139,257,52,1,266,0,0,0,0,0,1,0,0,0,0,3,3,719,0,719,0
451,131,253,23,1,256,1,0,1,0,0,0,0,0,0,0,2,2,668,0,668,0
452,155,255,32,1,371,0,0,0,0,0,2,1,0,0,0,3,3,820,0,820,0
453,130,161,31,0,333,0,0,1,0,0,0,2,0,0,2,2,2,662,0,662,0
454,125,264,48,0,394,0,0,0,0,0,0,0,0,0,1,3,3,835,0,835,0
455,108,222,16,3,270,0,1,0,2,1,0,0,0,0,1,1,1,625,0,625,0
456,99,225,35,1,448,0,0,0,0,0,1,0,0,0,0,2,2,811,0,811,0
457,106,190,42,0,291,0,0,0,0,0,0,0,0,0,0,2,2,631,0,631,0
458,179,303,30,0,482,0,0,1,0,0,2,0,0,0,0,3,3,1000,0,1000,0
459,183,238,42,1,418,1,0,0,0,0,2,0,0,2,0,7,7,894,0,894,0
460,119,205,15,0,298,0,0,0,0,0,1,0,0,1,0,0,0,639,0,639,0
461,148,262,12,1,466,0,0,0,0,0,0,2,0,0,3,3,3,897,0,897,0
462,178,219,36,0,278,0,0,0,1,0,0,0,0,0,0,3,3,715,0,715,0
463,101,199,16,0,194,1,0,0,0,0,0,0,0,0,0,3,3,514,0,514,0
464,219,312,27,2,465,0,0,0,0,0,1,1,0,0,1,4,4,1032,0,1032,0
465,195,300,39,1,385,0,0,1,0,0,0,0,0,0,0,5,5,926,0,926,0
466,92,138,16,1,164,0,0,0,0,0,0,0,0,0,0,3,3,414,0,414,0
467,119,132,32,0,191,0,0,0,0,0,0,0,0,0,0,2,2,476,0,476,0
468,146,195,23,0,274,0,0,0,0,1,1,0,1,0,0,4,4,645,0,645,0
469,88,322,21,1,235,0,0,0,0,0,0,0,0,1,0,4,4,672,0,672,0
470,112,181,22,1,266,0,0,0,0,1,0,0,0,0,0,5,5,588,0,588,0
471,,,,,,,,,,,,,,,,,,0,0,0,0
472,,,,,,,,,,,,,,,,,,0,0,0,0
473,,,,,,,,,,,,,,,,,,0,0,0,0
474,,,,,,,,,,,,,,,,,,0,0,0,0
475,,,,,,,,,,,,,,,,,,0,0,0,0
476,,,,,,,,,,,,,,,,,,0,0,0,0
